external_id,game,set_code,collector_number,name,condition,printing,language,quantity,cost,date_acquired,comment
cfe19e16-33f6-4594-9dd3-2699a66ba0e8,mtg,C13,150,Hunted Troll,MP,normal,en,1,0.0946,2026-06-20,airtable:Thundermaw Hellkite
138609,pokemon,SM03,142/147,Acerola (Full Art),NM,holo,en,1,43.497,2024-12-30,airtable:Acerola Full Art
138609,pokemon,SM03,142/147,Acerola (Full Art),NM,holo,en,1,37.32,2024-12-30,airtable:Acerola Full Art
c94b37df-aaa5-4981-be3b-c934a7971123,mtg,INR,64,Essence Flux,LP,normal,en,1,0.0946,2026-06-20,airtable:Essence Flux
87400,pokemon,HP,111/110,Mew,NM,holo,en,1,97.93,2025-11-30,airtable:Mew
3ceb13f4-ac9e-4ddd-9170-545f8d37b87a,mtg,OTC,13,Arcane Heist,LP,normal,en,2,0.0946,2026-06-20,airtable:Dragon Elemental // Treasure Double-Sided Token
b2364119-d764-4ef1-86cf-a0b7a5ae1b38,mtg,VOC,111,Reconnaissance Mission,LP,normal,en,1,0.0946,2026-06-20,airtable:Reconnaissance Mission
b14eaeec-d7ce-462a-90d3-2ae5ff605fdb,mtg,LTR,240,Horn of Gondor,MP,normal,en,1,0.0946,2026-06-20,airtable:Horn of Gondor
1b59533a-3e38-495d-873e-2f89fbd08494,mtg,C13,259,Sol Ring,HP,normal,en,1,0.0946,2026-06-20,airtable:Sol Ring
57ef531e-2a8f-4d40-b509-92e3a86b2257,mtg,NEO,298,Swamp,LP,foil,en,1,0.0946,2026-06-20,airtable:Swamp
1ae84b5c-d3ad-48a3-9ccc-1dd76cee392c,mtg,C18,225,Swiftfoot Boots,LP,normal,en,1,0.0946,2026-06-20,airtable:Swiftfoot Boots
1b32bae4-65e4-4bdb-8bc5-b98a5aac1568,mtg,CLB,236,Jade Orb of Dragonkind,LP,foil,en,1,0.0946,2026-06-20,airtable:Jade Orb of Dragonkind
8d1ec351-5e70-4eb2-b590-6bff94ef8178,mtg,FDN,79,Boltwave,LP,normal,en,1,0.0946,2026-06-20,airtable:Boltwave
dda6b4d0-1b60-46b0-b321-b9ffe15afff4,mtg,FIN,200,Sazh's Chocobo,LP,foil,en,1,0.0946,2026-06-20,airtable:Sazh's Chocobo
4d3cafdd-a03b-4b08-b9c1-c776f8450d3a,mtg,FEM,44,Thrull Champion,HP,normal,en,3,0.0946,2026-06-20,airtable:Thrull Champion
8f59620f-ff9e-44d8-9c4e-be9de1a919e8,mtg,ICE,130,Hecatomb,MP,normal,en,1,0.0946,2026-06-20,airtable:Hecatomb
7a35de4b-5d98-4034-acc9-f38dc8c8f7d6,mtg,OTC,15,Lock and Load,MP,normal,en,1,0.0946,2026-06-20,airtable:Lock and Load
786a3daa-41a6-4cf3-97bc-c59e1c7cd674,mtg,FCA,52,"Inalla, Archmage Ritualist",LP,normal,en,1,0.0946,2026-06-20,"airtable:Kuja, Mage Manufacturer - Inalla, Archmage Ritualist Showcase"
f0ca02f6-964a-427c-8978-17abae3322e1,mtg,S99,153,Wood Elves,LP,normal,en,1,0.0946,2026-06-20,airtable:Wood Elves
a201d1bc-e3fe-4f59-bd48-3683996ac308,mtg,MH3,107,Ripples of Undeath,HP,normal,en,1,0.0946,2026-06-20,airtable:Ripples of Undeath
ccd3afb3-5574-4f2d-adbe-969a428f1c63,mtg,ICE,379,Snow-Covered Mountain,HP,normal,en,1,0.0946,2026-06-20,airtable:Snow-Covered Mountain
e8661e0a-faf8-4c16-b988-55622707de6f,mtg,3ED,258,Jayemdae Tome,MP,normal,en,1,0.0946,2026-06-20,airtable:Jayemdae Tome
